FrameNo,CumulativeTime(s),distance(m)
1,1.7243,1.452602
2,1.99702,1.402596
3,2.29141,1.3873
4,2.59449,1.394986
5,2.8893,1.41577
6,3.17899,1.41577
7,3.46238,1.402983
8,3.75271,1.467531
9,4.04763,1.543216
10,4.35135,1.52345
11,4.66044,1.452795
12,4.97122,1.479872
13,5.29539,1.527952
14,5.63008,1.629402
15,5.98219,1.56344
16,6.36022,1.547316
17,6.80576,1.514461
18,7.25141,1.468129
19,7.68672,1.375779
20,8.12636,1.490569
21,8.5772,1.505475
22,9.02061,1.65951
23,9.45407,1.590888
24,9.87981,1.541724
25,10.304,1.594937
26,10.734,1.584213
27,11.1493,1.627065
28,11.5723,1.512876
29,11.9969,1.307902
30,12.4202,
31,12.8293,1.355539
32,13.2728,1.042684
33,13.6709,1.02069
34,14.0912,0.996852
35,14.5293,1.064077
36,14.9642,1.082381
37,15.4051,0.932836
38,15.8558,1.491286
39,16.3056,1.354399
40,16.6947,1.351076
41,17.1166,1.47504
42,17.5428,1.182235
43,17.9684,1.287641
44,18.4329,1.548139
45,18.8576,1.31059
46,19.2655,1.254696
47,19.6974,1.822736
48,20.1193,1.14442
49,20.5817,1.078812
50,21.0252,1.466623
51,21.4438,1.466491
52,21.8654,1.500097
53,22.284,1.854399
54,22.7012,1.364859
55,23.1348,1.298487
56,23.5572,1.106813
57,23.9416,1.026568
58,24.3332,0.995921
59,24.7143,1.181459
60,25.1284,1.227315
61,25.5465,1.231231
62,25.9734,1.399389
63,26.3944,1.448793
64,26.8431,1.654289
65,27.3023,
66,27.7426,
67,28.1906,
68,28.6349,1.288856
69,29.0645,1.208357
70,29.4523,1.423715
71,29.8454,1.499464
72,30.2604,1.563849
73,30.6359,1.590956
74,31.0322,1.155358
75,31.4475,1.104079
76,31.8669,1.038819
77,32.3074,1.032743
78,32.7505,1.061246
79,33.1683,1.042617
80,33.6074,1.172945
81,34.0534,1.283895
82,34.4889,1.140492
83,34.9232,1.226149
84,35.3781,
85,35.8398,
86,36.2912,
87,36.7115,
88,37.1362,
89,37.5606,1.350814
90,37.9933,1.244816
91,38.4477,1.365415
92,38.8869,1.322667
93,39.3063,1.182299
94,39.7422,1.187385
95,40.1369,1.127393
96,40.5542,1.192364
97,40.9867,1.192029
98,41.4438,1.169338
99,41.854,1.218148
100,42.3218,1.193251
101,42.7677,1.15891
102,43.2044,1.202658
103,43.6163,1.233944
104,44.0603,1.1293
105,44.4956,1.115191
106,44.9079,1.042705
107,45.3494,0.842714
108,45.8019,0.536715
109,46.2392,0.601586
110,46.6921,0.36647
111,47.1273,0.372298
112,47.5653,
113,48.0178,0.48775
114,48.4798,
115,48.9286,
116,49.3306,
117,49.7858,
118,50.2173,
119,50.6434,0.733287
120,51.0519,0.772955
121,51.4585,0.808168
122,51.8473,
123,52.2871,0.790129
124,52.7532,0.753988
125,53.1907,
126,53.6,
127,54.0428,0.605816
128,54.4679,0.553513
129,54.9021,0.464478
130,55.3194,0.420566
131,55.6957,0.46711
132,56.1012,0.45524
133,56.4797,0.444503
134,56.9223,0.435661
135,57.3841,0.410856
136,57.811,0.474278
137,58.2299,0.496374
138,58.6657,0.511342
139,59.1134,0.543299
140,59.558,0.455546
141,60.0079,0.316053
142,60.4563,0.560238
143,60.8885,0.922466
144,61.3314,1.524977
145,61.755,1.746176
146,62.1662,1.218509
147,62.6097,1.101321
148,63.0395,1.144946
149,63.4422,1.10216
150,63.8986,1.068192
151,64.3358,0.920347
152,64.7754,
153,65.2432,
154,65.6865,
155,66.0999,
156,66.5359,
157,66.9736,
158,67.4241,1.686817
159,67.8718,1.736513
160,68.2988,1.366438
161,68.7115,0.409018
162,69.1465,0.553135
163,69.5838,0.588359
164,70.0168,0.562354
165,70.4793,0.546527
166,70.9267,0.806398
167,71.3371,0.590698
168,71.7666,
169,72.2203,0.745578
170,72.6482,0.824719
171,73.0753,0.810814
172,73.5234,0.752745
173,73.9333,0.837787
174,74.3975,0.818866
175,74.846,0.931217
176,75.2923,0.916558
177,75.7135,0.885884
178,76.164,0.893335
179,76.6187,0.876708
180,77.0428,0.941887
181,77.4613,0.918716
182,77.8894,0.95125
183,78.3028,0.782295
184,78.728,0.55595
185,79.1488,0.771786
186,79.5689,0.6814
187,80.0077,0.613737
188,80.4134,0.730269
189,80.8591,0.790038
190,81.2898,0.770644
191,81.6945,0.656907
192,82.1403,0.650844
193,82.5787,0.635153
194,83.0091,0.603942
195,83.4004,0.591356
196,83.8267,0.595035
197,84.2507,0.641217
198,84.6759,0.621306
199,85.1415,0.635531
200,85.6055,0.610534
201,86.0719,0.622573
202,86.5146,0.638653
203,86.9688,0.653358
204,87.3838,0.58579
205,87.7988,0.723856
206,88.2335,0.777626
207,88.6707,0.877854
208,89.1147,0.777911
209,89.5825,0.824902
210,90.0297,0.781509
211,90.4522,
212,90.901,
213,91.3619,0.504978
214,91.8418,0.533965
215,92.3055,0.517885
216,92.7504,0.507559
217,93.165,0.516001
218,93.5869,0.503406
219,94.0192,0.499055
220,94.4684,0.498376
221,94.8937,0.499858
222,95.3247,0.50351
223,95.7514,0.503381
224,96.1731,0.506963
225,96.6153,0.51172
226,97.0368,0.550926
227,97.4719,0.633918
228,97.9266,0.703676
229,98.3913,0.722574
230,98.8432,0.736592
231,99.2942,0.793545
232,99.7387,0.723279
233,100.203,0.761709
234,100.643,0.760269
235,101.077,0.754558
236,101.525,0.80666
237,101.968,0.741144
238,102.4,0.790515
239,102.829,0.741144
240,103.276,0.732596
241,103.712,0.761797
242,104.148,0.60185
243,104.605,0.579173
244,105.049,0.643303
245,105.486,0.587524
246,105.917,0.614415
247,106.352,0.619546
248,106.778,0.607224
249,107.201,0.614111
250,107.621,0.59303
251,108.053,0.587366
252,108.474,0.594068
253,108.912,0.592745
254,109.315,0.562572
255,109.772,0.561007
256,110.211,0.560495
257,110.663,0.6138
258,111.108,0.576955
259,111.534,0.585825
260,111.945,0.578466
261,112.372,0.594411
262,112.855,0.621277
263,113.322,0.681832
264,113.765,0.690998
265,114.224,0.661989
266,114.681,0.658236
267,115.13,0.669614
268,115.577,0.660846
269,116.045,0.682293
270,116.493,0.653898
271,116.944,0.661022
272,117.392,0.650527
273,117.844,0.637734
274,118.281,0.629044
275,118.724,0.641313
276,119.162,0.652022
277,119.597,0.660356
278,120.049,0.705978
279,120.499,0.691497
