FrameNo,FrameProcessingTime(s),CumulativeTime(s),NumberOfObjectsDetected,distance(m),,
1,1.7243,1.7243,2,1.452602,,
2,0.272714,1.99702,2,1.402596,,
3,0.294398,2.29141,2,1.3873,,
4,0.303074,2.59449,2,1.394986,,
5,0.294808,2.8893,2,1.41577,,
6,0.289698,3.17899,2,1.41577,,
7,0.283384,3.46238,2,1.402983,,
8,0.290333,3.75271,2,1.467531,,
9,0.294926,4.04763,2,1.543216,,
10,0.303718,4.35135,2,1.52345,,
11,0.309088,4.66044,2,1.452795,,
12,0.310783,4.97122,2,1.479872,,
13,0.324169,5.29539,2,1.527952,,
14,0.33469,5.63008,2,1.629402,,
15,0.352106,5.98219,2,1.56344,,
16,0.378035,6.36022,2,1.547316,,
17,0.44554,6.80576,2,1.514461,,
18,0.445642,7.25141,2,1.468129,,
19,0.435316,7.68672,2,1.375779,,
20,0.439635,8.12636,2,1.490569,,
21,0.450842,8.5772,2,1.505475,,
22,0.443416,9.02061,2,1.65951,,
23,0.433455,9.45407,2,1.590888,,
24,0.425739,9.87981,2,1.541724,,
25,0.424206,10.304,2,1.594937,,
26,0.429989,10.734,2,1.584213,,
27,0.415299,11.1493,2,1.627065,,
28,0.423003,11.5723,2,1.512876,,
29,0.424565,11.9969,2,1.307902,,
30,0.423332,12.4202,1,,,
31,0.409091,12.8293,2,1.355539,,
32,0.443495,13.2728,2,1.042684,,
33,0.398091,13.6709,2,1.02069,,
34,0.420305,14.0912,2,0.996852,,
35,0.438076,14.5293,2,1.064077,,
36,0.434989,14.9642,2,1.082381,,
37,0.440845,15.4051,2,0.932836,,
38,0.450702,15.8558,2,1.491286,,
39,0.449845,16.3056,2,1.354399,,
40,0.389068,16.6947,2,1.351076,,
41,0.421929,17.1166,2,1.47504,,
42,0.426187,17.5428,2,1.182235,,
43,0.425536,17.9684,2,1.287641,,
44,0.464499,18.4329,2,1.548139,,
45,0.424742,18.8576,2,1.31059,,
46,0.407879,19.2655,2,1.254696,,
47,0.431878,19.6974,2,1.822736,,
48,0.421948,20.1193,3,1.14442,1.028844,1.274279
49,0.462395,20.5817,2,1.078812,,
50,0.443448,21.0252,2,1.466623,,
51,0.418614,21.4438,2,1.466491,,
52,0.421616,21.8654,2,1.500097,,
53,0.41859,22.284,2,1.854399,,
54,0.417247,22.7012,2,1.364859,,
55,0.433585,23.1348,2,1.298487,,
56,0.422438,23.5572,2,1.106813,,
57,0.38436,23.9416,2,1.026568,,
58,0.39161,24.3332,2,0.995921,,
59,0.381137,24.7143,2,1.181459,,
60,0.4141,25.1284,2,1.227315,,
61,0.41801,25.5465,2,1.231231,,
62,0.426969,25.9734,2,1.399389,,
63,0.421005,26.3944,2,1.448793,,
64,0.448695,26.8431,2,1.654289,,
65,0.459176,27.3023,1,,,
66,0.440339,27.7426,1,,,
67,0.447971,28.1906,1,,,
68,0.444319,28.6349,2,1.288856,,
69,0.429565,29.0645,2,1.208357,,
70,0.387761,29.4523,2,1.423715,,
